location_code,location_name,average_rating
K352,Ebbets Field Middle School,7.666666666666667
K353,Elijah Stroud Middle School,7.166666666666667
K354,The School of Integrated Learning,8.0
K355,Williamsburg Collegiate Charter School,7.2
K356,Achievement First Crown Heights Charter School,9.0
K357,KIPP AMP Charter School,8.0
K358,Achievement First East New York Charter School,6.0
K359,The Uft Charter School,7.333333333333333
K360,Launch Expeditionary Learning Charter School,7.5
K361,P.S. 361 East Flatbush Early Childhood School,8.0
K362,Hellenic Classical Charter School,7.5
K363,Brownsville Collaborative Middle School,6.4
K364,I.S. 364 Gateway,7.0
K365,District 23 HS#1,7.888888888888889
K366,The Science And Medicine Middle School,
K367,Success Academy Charter School - Bed-Stuy 1,7.0
K368,P.S. 368,7.0
K369,P.S. K369 - Coy L. Cox School,7.954545454545454
K370,P.S. 370,7.4
K371,P.S. 371 - Lillian L. Rashkis,6.5
K372,P.S. 372 -The Children's School,7.714285714285714
K373,P.S. 373 - Brooklyn Transition Center,7.0
K375,P.S. 375 Jackie Robinson School,7.666666666666667
K376,P.S. 376,7.8
K377,P.S. 377 Alejandrina B. De Gautier,7.666666666666667
K378,MS 378 Carroll Gardens C.S,7.484848484848484
K379,Explore Excel Charter School,7.6
K380,P.S. 380 John Wayne Elementary,7.166666666666667
K381,I. S. 381,8.166666666666666
K382,Academy for College Preparation and Career Explora,7.0
K383,J.H.S. 383 Philippa Schuyler,7.8
K384,P.S. /I.S. 384 Frances E. Carter,6.5
K385,"School of Business, Finance and Entrepreneurship",8.0
K386,Invictus Preparatory Charter School,8.666666666666666
K390,M S 390 Maggie L. Walker,8.0
K391,I S 391 Mahalia Jackson,9.0
K392,I.S. 392,6.5
K393,Frederick Douglass Academy IV Secondary School,8.0
K394,M.S. K394,6.666666666666667
K395,New Visions A.I.M. Charter High School I,6.5
K396,P.S. K396,5.666666666666667
K397,P.S. 397 Foster-Laurie,9.0
K398,P.S. 398 Walter Weaver,7.333333333333333
K399,P.S. 399 Stanley Eugene Clark,8.0
K401,Christopher Avenue Community School,6.857142857142857
K403,Academy for Excellence in Leadership,7.5
K404,Academy for Young Writers,7.166666666666667
K405,Midwood High School,8.5
K406,"EMBER Charter School for Mindful Education, Innova",8.0
K408,Academy of Hospitality and Tourism,7.0
K409,East New York Family Academy,7.6
K410,Abraham Lincoln High School,7.666666666666667
K412,Brooklyn Community Arts & Media High School (BCAM),7.2
K414,Brooklyn Arbor Elementary School,7.0
K415,Samuel J. Tilden High School,7.75
K417,Urban Dove Charter School,7.0
K419,"Science Skills Center High School for Science, Tec",8.166666666666666
K420,Franklin K. Lane High School,6.0
K422,Spring Creek Community School,7.166666666666667
K423,Brooklyn Frontiers High School,8.25925925925926
K425,James Madison High School,8.4
K429,Digital Arts and Cinema Technology High School,7.612903225806452
K430,Brooklyn Technical High School,7.869565217391305
K434,Greenpoint High School For Engineering And Automot,7.375
K435,Thomas Jefferson High School,6.0
K439,Brooklyn International High School,8.166666666666666
K440,Prospect Heights Hs,7.8
K442,M.S. 442 Carroll Gardens School for Innovation,8.0
K443,New Voices School of Academic & Creative Arts,7.2
K445,New Utrecht High School,9.0
K446,Riverdale Avenue Community School,6.833333333333333
K447,The Math & Science Exploratory School,7.631578947368421
K448,Brooklyn Collaborative Studies,7.484848484848484
K449,"Brooklyn Latin School, The",6.833333333333333
K451,Shorefront High School Of Arts And Sciences At Joh,8.5
K452,Frederick Douglass Academy VIII Middle School,7.0
K453,Academy Of Career Exploration Of Sheepshead Bay,8.125
K454,The Williamsburg High School of Art and Technology,6.833333333333333
K455,Boys and Girls High School,7.666666666666667
K459,Erasmus Campus - Science/Math,7.0
K460,John Jay Hs,7.714285714285714
K462,John Jay School for Law,7.714285714285714
K463,Cyberarts Studio Academy,7.714285714285714
K464,Park Slope Collegiate,7.714285714285714
K468,Kingsborough Early College School,8.5
K469,Erasmus Campus - Humanities,7.0
K470,George W Wingate Hs,9.0
K473,Williamsburg Charter High School,7.6
K474,PROGRESS High School for Professional Careers,7.0
K477,East Williamsburg Scholars Academy,7.0
